source_path	classification	canonical_rule	reason	source_sha256	replacement_path	replacement_sha256
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/dml-main.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	6978ba7e889070b0c3cb5b546b23e5a6c3516134afc53b87a21f482ca33f3858	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/dml-picture.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	17581a2683f0ecbfd4c64656f1dff7236a4563127b5d056da750a9fd61e26f67	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/dml-spreadsheetDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	aabcbb126609a518a78b007c1e6ab76e1016f136964f3afb3a5eda51584e983d	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/dml-wordprocessingDrawing.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	2dbfd4719505bf39b568005994a433997cbeac59cebc9d4867d564c94e9ba03a	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/pml.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	39c6396b7b1f096885c3ceba5dab30e3ee14291c45a1d6fa6038ec4db69d88d0	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-additionalCharacteristics.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	57567431dcaf5dae08c5f7ae1eeb2c9a4d2d762a912cd09758f620469d226947	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-bibliography.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	6ec3425c89d6bf6eec5dd0d82c0ed0fb606064b6d4692a696323ee86814de0e4	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-commonSimpleTypes.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	d90722af8f1439ae6b82d57858ee0b0720e320eb309cf30371666338aa66d106	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-customXmlDataProperties.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	1624b1ee04781508421fd5d8a7a8fd054196be5e1e122736c7ed350161bf4b89	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-customXmlSchemaProperties.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	4048c35b8949bab9f8ac58c2fcd0b534c5626fbe1d2bc88522a3724a0514d091	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesCustom.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	7f112630ff0a2bf450fb80ccc7d891fb2bfd70866c4913590d3a91f43744d4ec	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesExtended.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	2dd1b7ce7cf5be453fd2db72b6d6072259ede8193db7518c72439fa26fd7ad72	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesVariantTypes.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	ec24c8039acb44422b65c2d99af82d4f21007d17bc33c87d36549904a29702d8	not_applicable	not_applicable
skills/productivity/powerpoint/scripts/office/schemas/ISO-IEC29500-4_2016/shared-math.xsd	excluded_by_canonical_policy	P12_restricted_powerpoint_subtree	restrictive PowerPoint skill license not cleared	f812dffca0bb66db6e2ec2e01dd19258636b2a5a3a0bb949a2e7295665e0ce61	not_applicable	not_applicable
