path	upstream_mode	upstream_type	upstream_object_id	source_sha256	product_sha256	disposition	modification_reason	ignored_before_tracking_compatibility	ignore_rule_source	final_trackable
.github/pr-screenshots/45449/billing-confirm.png	100644	blob	643f62a651db4f231edcba727f6d8aa6e46e2fe8	084F7FBE68F6434445A4B2E0173A3FC6F1040B1A6F5F352A91BC75A9E236F758	084F7FBE68F6434445A4B2E0173A3FC6F1040B1A6F5F352A91BC75A9E236F758	imported_unmodified		false		true
.github/pr-screenshots/45449/billing-overview.png	100644	blob	6e2e319a9bd1cf088d6447705b3451eb02db1807	4BBB9A1C9BACB3A11E6FB96DBFBCCAF0B28FDEA2DA8BBDF60F146D0BF5CA08AA	4BBB9A1C9BACB3A11E6FB96DBFBCCAF0B28FDEA2DA8BBDF60F146D0BF5CA08AA	imported_unmodified		false		true
.github/pr-screenshots/telegram-overflow/topic-final-response-clipped.jpg	100644	blob	2f3529648e796c50aa53c92734b9ab267e0afad6	CED7DC43008BC9E5350EA4C7BDD9C5BA9B950FD6ADA6E7C3F1F04EE1DF743F12	CED7DC43008BC9E5350EA4C7BDD9C5BA9B950FD6ADA6E7C3F1F04EE1DF743F12	imported_unmodified		false		true
.github/workflows/ci.yml	100644	blob	ab60120165362316152e412fbec9d3f30efa2334	A1257891DD443D0989A197849310D75D086520B681B1BD5AD899ADF09EBF3584	A1257891DD443D0989A197849310D75D086520B681B1BD5AD899ADF09EBF3584	imported_unmodified		false		true
.github/workflows/contributor-check.yml	100644	blob	b7c3db7f8270768507a6158661d4a0014a300abc	7FDC601957EB3ADC0528874E865B27515A7BF424F9A6CE70D06133D9BFA7B06B	7FDC601957EB3ADC0528874E865B27515A7BF424F9A6CE70D06133D9BFA7B06B	imported_unmodified		false		true
.github/workflows/deploy-site.yml	100644	blob	6e7dc84415d003c20503df026e124ea7b29d259a	369DD3BFF7244DEAB5C35DEEE57F3CA2DD96E3AC615E061AD97DC4871220A9A7	369DD3BFF7244DEAB5C35DEEE57F3CA2DD96E3AC615E061AD97DC4871220A9A7	imported_unmodified		false		true
.github/workflows/docker-lint.yml	100644	blob	89b80fa10e09943e217e21b3c8723962629b275e	4365049E32D200B308DFE91E520DE97BE0113011EA8B7B3DCF978B6D057BDEC0	4365049E32D200B308DFE91E520DE97BE0113011EA8B7B3DCF978B6D057BDEC0	imported_unmodified		false		true
.github/workflows/docker.yml	100644	blob	e19894c96fdc9cae93842701151b74250516b1e2	33981AFA894A195A19065A80D2302F7C1D21AAD2DC1E2FCA140A94761A8F940B	33981AFA894A195A19065A80D2302F7C1D21AAD2DC1E2FCA140A94761A8F940B	imported_unmodified		false		true
.github/workflows/docs-site-checks.yml	100644	blob	705f2171e5ce6df290605a2d538f83b83a7af655	4D5D4CAB8A3FE530C94360485F9C49FED2F860250E771358A0B49A625848A84C	4D5D4CAB8A3FE530C94360485F9C49FED2F860250E771358A0B49A625848A84C	imported_unmodified		false		true
.github/workflows/history-check.yml	100644	blob	07e4fa348e43fb5e0d984a305523232ae3e64860	A7D1895CD32A8EDB25B417F8DCF5680D929305DF8743A43BE99F729DC5AEFF32	A7D1895CD32A8EDB25B417F8DCF5680D929305DF8743A43BE99F729DC5AEFF32	imported_unmodified		false		true
.github/workflows/lint.yml	100644	blob	beb3a07abaeea0394b85e271af9087507378a3ed	32D32741436E492598D06F9F6DA25576D15A3B6BB56E82B15D0576F62D18B625	32D32741436E492598D06F9F6DA25576D15A3B6BB56E82B15D0576F62D18B625	imported_unmodified		false		true
.github/workflows/osv-scanner.yml	100644	blob	48b485c55fdf1ba08c021065c79527299a48641c	18A875F95A8EC0AF35865B9051C4121249BFB82A77A59BDF2318D1048924CF95	18A875F95A8EC0AF35865B9051C4121249BFB82A77A59BDF2318D1048924CF95	imported_unmodified		false		true
.github/workflows/skills-index-freshness.yml	100644	blob	856878def5f13b9cda585b688dce9ae84f41df26	F9A071513A40072CAE53E5E1C1CFAA24F9E352FA7B58F92013647C1AFB7DB483	F9A071513A40072CAE53E5E1C1CFAA24F9E352FA7B58F92013647C1AFB7DB483	imported_unmodified		false		true
.github/workflows/skills-index.yml	100644	blob	1997dedf5c75a97642882e80b53e0f2990d1e014	6996BFEDB1D25A0185829BCBF8A6E4C4515F811719955BA8A5BD93B46D38D721	6996BFEDB1D25A0185829BCBF8A6E4C4515F811719955BA8A5BD93B46D38D721	imported_unmodified		false		true
.github/workflows/supply-chain-audit.yml	100644	blob	201e92d174ccea42bc18da0b2587dc3b24a79ccd	4DDEAD3C4AED4DB3D705889A315A936369145AE8AD1DBA11D16626A4439CBE13	4DDEAD3C4AED4DB3D705889A315A936369145AE8AD1DBA11D16626A4439CBE13	imported_unmodified		false		true
.github/workflows/tests.yml	100644	blob	f74d574fa27dbac79abc816507a5979a40320728	1FCAFD699C58E6FAA0131A575C48CCA4560EFEF41E1B3A352A0927427762BA5B	1FCAFD699C58E6FAA0131A575C48CCA4560EFEF41E1B3A352A0927427762BA5B	imported_unmodified		false		true
.github/workflows/typecheck.yml	100644	blob	dd2906629b01574a920e2656839fbe5a0f99233b	EC3EF8302E40D4C87C23B7460768834B83712E42329B3E413BC47DB790BC104F	EC3EF8302E40D4C87C23B7460768834B83712E42329B3E413BC47DB790BC104F	imported_unmodified		false		true
.github/workflows/upload_to_pypi.yml	100644	blob	03fad4eba0cee65a259e18426bd15a53238c4af9	44A8C14AC7731E472EF4FF17D301452E81B81F1564F7B8BEA0EF6AB4E3921C6E	44A8C14AC7731E472EF4FF17D301452E81B81F1564F7B8BEA0EF6AB4E3921C6E	imported_unmodified		false		true
.github/workflows/uv-lockfile-check.yml	100644	blob	8a7f52e899a429324076a0c6181e1a9704e5a82c	7C466A3663BA90F91EBAAEEE9A42EB022173B5C17E01FBD9B6DA63CD3336195B	7C466A3663BA90F91EBAAEEE9A42EB022173B5C17E01FBD9B6DA63CD3336195B	imported_unmodified		false		true
.gitignore	100644	blob	e4240ea36e754fe6e6035b787f9713b57d3457d1	48C1B21B96A29422AD211A000EAFC451CCB5771552B7866D3ED8DA8556B9A992	CC50D6A4E5789A08F19A4F17D306CE14CFDA4032B5EC248E2C1383106959CC30	imported_modified_for_tracking_compatibility	added delimited exact negations for 39 upstream-tracked paths	false		true
