source_repository	source_tag	source_commit	entry_type	relative_path	git_mode	git_object_id	git_bytes	git_sha256	materialized_bytes	materialized_sha256	verification_status
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/swarm2/swarm2-reports-view.tsx	100644	c9934ffd8aa114f766b28aabd985ce4b8b8a9c1c	45221	a4c1809f679f0fbb8e15ca720272a0a6f3d23f84b746561565fcafa233cb42d8	45221	a4c1809f679f0fbb8e15ca720272a0a6f3d23f84b746561565fcafa233cb42d8	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/swarm2/swarm2-screen.test.ts	100644	9ab2ff642b81d201a957884907915be2e6d62ed3	6984	a96425b0fd935f4b9a1e27d7d5222a53ea6ef1c9739a8aa58f8a0c9ecce39856	6984	a96425b0fd935f4b9a1e27d7d5222a53ea6ef1c9739a8aa58f8a0c9ecce39856	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/swarm2/swarm2-screen.tsx	100644	dba314943cc82e4ed54bf14f8d211dbe80325e28	76337	5e17b50de5f12d04a4b1c131320c085c61209841ebbe3719bdfd2876cd8bcc55	76337	5e17b50de5f12d04a4b1c131320c085c61209841ebbe3719bdfd2876cd8bcc55	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/swarm2/swarm2-task-queue.tsx	100644	881fe046b8a879b06336d84e19d4a211f3d28990	13829	f0236641a392204c85a976d66f31c1d4e2a17a295adceceee5b74e86c68ee357	13829	f0236641a392204c85a976d66f31c1d4e2a17a295adceceee5b74e86c68ee357	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/swarm2/swarm2-wires.tsx	100644	1da2046e55c115565189dfe699ce3155d315f47b	5535	77a62118a3258bfb35521d911533227e13d7aa76289eb720a3a89141ba6958e7	5535	77a62118a3258bfb35521d911533227e13d7aa76289eb720a3a89141ba6958e7	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/tasks/task-card.tsx	100644	20bd261db2e0724a344563402f25da2a1cc94ea5	3557	bbfe1e9378affe299069f19ae81fb2f3a9b923f9b5f93d35839b6c855bffe842	3557	bbfe1e9378affe299069f19ae81fb2f3a9b923f9b5f93d35839b6c855bffe842	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/tasks/task-dialog.tsx	100644	9cd284dc8da1e3aab5a38dc771fa2db883f7d521	7525	37871bdf2bd068ee26e9eb7a6488083b3ea3fd501cfee4b672cafeca6996e5f7	7525	37871bdf2bd068ee26e9eb7a6488083b3ea3fd501cfee4b672cafeca6996e5f7	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/tasks/tasks-screen.tsx	100644	a9c5eb10755419e0f26b35d1a41c7550056a012a	15928	d1a19a459bfec26a2fc147c86915693e2e0b638ae7663c346911810acca6833b	15928	d1a19a459bfec26a2fc147c86915693e2e0b638ae7663c346911810acca6833b	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/tasks/tasks-ux.test.ts	100644	c02f735c5eb6b1d3d066cf0f6546090a638fc5be	676	2ca90a3e3d53022b0c7c9fb46dae3a0817a075fd7da9c04104d5d64aa3b01343	676	2ca90a3e3d53022b0c7c9fb46dae3a0817a075fd7da9c04104d5d64aa3b01343	exact_match
https://github.com/outsourc-e/hermes-workspace.git	v2.3.0	15fa9cd706f5c04e4db288fb958e21d10fc776da	regular_file	src/screens/vt-capital/vt-capital-screen.test.tsx	100644	fe358cc1589906ea3e1123b696cd099558241f00	4388	012af477c9abfc717acb76c7c956c5f748d4c1135284cae352d2334caa3c25d3	4388	012af477c9abfc717acb76c7c956c5f748d4c1135284cae352d2334caa3c25d3	exact_match
