record_id	ecosystem	component_scope	entry_kind	authority_path	lock_path	dependency_name	declared_constraint	resolved_version	source_type	source_locator	integrity_evidence	platform_or_environment_marker	dependency_group	directness	current_product_value	new_baseline_value	delta_classification	reproducibility_classification	security_classification	lock_authority	required_action	owner_ticket	evidence_status	notes
P15M3-00011	npm	root_node_project	authority_file	2_products/pepper-agent/package-lock.json	2_products/pepper-agent/package-lock.json	package-lock.json	sha256:45ac4d939b5d5226f295f9a4b318afc77876aa15038899448e304e1c0b85ac92	733260_bytes	committed_git_blob	2_products/pepper-agent/package-lock.json	content_hash_present	not_applicable	authority	authority_file	5683d49882ddf555378f5180e6de899a6a1bdced12743509e3c2066e582a65e1	45ac4d939b5d5226f295f9a4b318afc77876aa15038899448e304e1c0b85ac92	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=733260
P15M3-00012	npm	root_node_project	authority_file	2_products/pepper-agent/package.json	not_applicable	package.json	sha256:9c02d27204afe4054697ceab1de1bcfd55f5460a29612a35c78b24112d83f76f	1550_bytes	committed_git_blob	2_products/pepper-agent/package.json	content_hash_present	not_applicable	authority	authority_file	49f15139f6a693d9edb3f9592f4f867e6b6350b9827357c97d49d6e1d4d781ed	9c02d27204afe4054697ceab1de1bcfd55f5460a29612a35c78b24112d83f76f	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1550
P15M3-00013	npm	plugin:photon	authority_file	2_products/pepper-agent/plugins/platforms/photon/sidecar/package-lock.json	2_products/pepper-agent/plugins/platforms/photon/sidecar/package-lock.json	package-lock.json	sha256:79e7de916eb9c287a850dfc98e8bf7eeae672e2501a68a3ba303df3da738618f	71055_bytes	committed_git_blob	2_products/pepper-agent/plugins/platforms/photon/sidecar/package-lock.json	content_hash_present	not_applicable	authority	authority_file	79e7de916eb9c287a850dfc98e8bf7eeae672e2501a68a3ba303df3da738618f	79e7de916eb9c287a850dfc98e8bf7eeae672e2501a68a3ba303df3da738618f	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=71055
P15M3-00014	npm	plugin:photon	authority_file	2_products/pepper-agent/plugins/platforms/photon/sidecar/package.json	not_applicable	package.json	sha256:4d07c1824d1b5715dc08af214a5346bc98631c36e611210811b4672a695fc91f	711_bytes	committed_git_blob	2_products/pepper-agent/plugins/platforms/photon/sidecar/package.json	content_hash_present	not_applicable	authority	authority_file	4d07c1824d1b5715dc08af214a5346bc98631c36e611210811b4672a695fc91f	4d07c1824d1b5715dc08af214a5346bc98631c36e611210811b4672a695fc91f	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=711
P15M3-00015	python	root_python_project	authority_file	2_products/pepper-agent/pyproject.toml	not_applicable	pyproject.toml	sha256:5ba57adbbb7b90587bc959384cb6f08d4ff05e8a477f224e93ff7f2362983b8e	21734_bytes	committed_git_blob	2_products/pepper-agent/pyproject.toml	content_hash_present	not_applicable	authority	authority_file	004344ec34d7eba58c0d674403bba71ccd9442751e42c9d4801cd6581b3efdb8	5ba57adbbb7b90587bc959384cb6f08d4ff05e8a477f224e93ff7f2362983b8e	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	single_authoritative_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=21734
P15M3-00016	npm	plugin:whatsapp-bridge	authority_file	2_products/pepper-agent/scripts/whatsapp-bridge/package-lock.json	2_products/pepper-agent/scripts/whatsapp-bridge/package-lock.json	package-lock.json	sha256:4eefee7aa6a6105d064d755b37720ccd203b5c7840babb2c31742ee01352ff78	79172_bytes	committed_git_blob	2_products/pepper-agent/scripts/whatsapp-bridge/package-lock.json	content_hash_present	not_applicable	authority	authority_file	4eefee7aa6a6105d064d755b37720ccd203b5c7840babb2c31742ee01352ff78	4eefee7aa6a6105d064d755b37720ccd203b5c7840babb2c31742ee01352ff78	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=79172
P15M3-00017	npm	plugin:whatsapp-bridge	authority_file	2_products/pepper-agent/scripts/whatsapp-bridge/package.json	not_applicable	package.json	sha256:3eb579923317f616eb3e07299dbdb19eb144e87340da8d07a520dbdd5280cd97	436_bytes	committed_git_blob	2_products/pepper-agent/scripts/whatsapp-bridge/package.json	content_hash_present	not_applicable	authority	authority_file	3eb579923317f616eb3e07299dbdb19eb144e87340da8d07a520dbdd5280cd97	3eb579923317f616eb3e07299dbdb19eb144e87340da8d07a520dbdd5280cd97	unchanged	not_applicable	acceptable_for_internal_analysis	component_local_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=436
P15M3-00018	python	root_python_project	authority_file	2_products/pepper-agent/setup.py	not_applicable	setup.py	sha256:6fc4fd32be898257a28722b00a035bf9078bdf5d80028ca32200f9c235b36f2f	2396_bytes	committed_git_blob	2_products/pepper-agent/setup.py	content_hash_present	not_applicable	authority	authority_file	6fc4fd32be898257a28722b00a035bf9078bdf5d80028ca32200f9c235b36f2f	6fc4fd32be898257a28722b00a035bf9078bdf5d80028ca32200f9c235b36f2f	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2396
P15M3-00019	python	skill:google-workspace	authority_file	2_products/pepper-agent/skills/productivity/google-workspace/scripts/setup.py	not_applicable	setup.py	sha256:69c03a911b01a9d2aef0aac0a42dbf1789cd147452b98e5c9e54a0ddb906a4f3	19224_bytes	committed_git_blob	2_products/pepper-agent/skills/productivity/google-workspace/scripts/setup.py	content_hash_present	not_applicable	authority	authority_file	69c03a911b01a9d2aef0aac0a42dbf1789cd147452b98e5c9e54a0ddb906a4f3	69c03a911b01a9d2aef0aac0a42dbf1789cd147452b98e5c9e54a0ddb906a4f3	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=19224
P15M3-00020	container_image	tests	authority_file	2_products/pepper-agent/tests/e2e/matrix_xsign_bootstrap/docker-compose.yml	not_applicable	docker-compose.yml	sha256:77dfcf6097e9e1e3b588f292c01d4cbdbdaa4004d00945edbfaaf5be0c5678e7	880_bytes	committed_git_blob	2_products/pepper-agent/tests/e2e/matrix_xsign_bootstrap/docker-compose.yml	content_hash_present	not_applicable	authority	authority_file	77dfcf6097e9e1e3b588f292c01d4cbdbdaa4004d00945edbfaaf5be0c5678e7	77dfcf6097e9e1e3b588f292c01d4cbdbdaa4004d00945edbfaaf5be0c5678e7	unchanged	not_applicable	acceptable_for_internal_analysis	not_applicable	retain_as_static_authority	P15.M3	parsed	authority file bytes=880
